Lat,Lon
-41.111,144.708
-41.103,144.735
-41.08,144.75
-41.041,144.749
-40.994,144.741
-40.947,144.734
-40.901,144.728
-40.861,144.724
-40.833,144.723
-40.817,144.725
-40.805,144.729
-40.794,144.733
-40.782,144.736
-40.768,144.745
-40.754,144.763
-40.742,144.793
-40.732,144.828
-40.723,144.864
-40.715,144.9
-40.698,144.942
-40.667,144.996
-40.627,145.061
-40.587,145.132
-40.552,145.205
-40.521,145.278
-40.498,145.341
-40.479,145.382
-40.459,145.402
-40.435,145.412
-40.411,145.421
-40.387,145.431
-40.367,145.439
-40.355,145.444
-40.353,145.448
-40.356,145.449
-40.358,145.451
-40.361,145.452
-40.362,145.459
-40.359,145.473
-40.352,145.495
-40.342,145.521
-40.331,145.546
-40.321,145.572
-40.312,145.589
-40.311,145.588
-40.319,145.57
-40.331,145.542
-40.342,145.516
-40.354,145.49
-40.361,145.454
-40.357,145.401
-40.338,145.332
-40.313,145.253
-40.287,145.168
-40.263,145.077
-40.26,144.968
-40.302,144.834
-40.387,144.684
-40.492,144.53
-40.598,144.378
-40.705,144.223
-40.798,144.097
-40.862,144.035
-40.895,144.04
-40.913,144.082
-40.932,144.123
-40.952,144.164
-40.972,144.205
-40.99,144.238
-41.005,144.259
-41.019,144.273
-41.033,144.286
-41.046,144.298
-41.05,144.305
-41.036,144.304
-41.002,144.296
-40.957,144.285
-40.91,144.275
-40.863,144.264
-40.824,144.257
-40.803,144.256
-40.8,144.259
-40.806,144.263
-40.812,144.267
-40.818,144.271
-40.815,144.272
-40.793,144.266
-40.753,144.257
-40.704,144.247
-40.654,144.24
-40.605,144.236
-40.575,144.232
-40.588,144.224
-40.645,144.214
-40.725,144.21
-40.804,144.209
-40.883,144.212
-40.945,144.224
-40.978,144.247
-40.984,144.278
-40.977,144.312
-40.968,144.344
-40.957,144.374
-40.958,144.402
-40.98,144.421
-41.015,144.431
-41.051,144.435
-41.086,144.439
-41.12,144.443
-41.143,144.446
-41.15,144.448
-41.142,144.45
-41.128,144.449
-41.114,144.449
-41.1,144.449
-41.09,144.446
-41.087,144.439
-41.091,144.424
-41.097,144.405
-41.103,144.385
-41.109,144.365
-41.107,144.341
-41.09,144.312
-41.061,144.282
-41.025,144.252
-40.99,144.222
-40.954,144.191
-40.927,144.159
-40.92,144.125
-40.934,144.093
-40.959,144.064
-40.983,144.037
-41.008,144.011
-41.027,144.001
-41.03,144.02
-41.018,144.065
-40.996,144.12
-40.974,144.175
-40.953,144.229
-40.931,144.276
-40.908,144.303
-40.886,144.31
-40.865,144.307
-40.843,144.304
-40.822,144.302
-40.802,144.302
-40.786,144.305
-40.774,144.314
-40.764,144.328
-40.754,144.34
-40.744,144.353
-40.743,144.357
-40.761,144.346
-40.796,144.321
